rank,path,size_bytes,size_mib,file_type,git_status,category,sha256,referenced_by
139,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FTL_004.jpg,2627388,2.506,image,ignored,ARCHIVE_RND,0e576bfc9875eb25aa835544a9711177005c6aa434b291959bc814cb1d845c4f,
140,out/tissue_box_front_24_sanitized/verification/tissue_FTL_004_verified.jpg,2613674,2.493,image,ignored,ARCHIVE_RND,acaf3b58ba41b806b3794da7aa9609d6116976be239c7754214ad3b6680e05a0,
141,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FTR_003.jpg,2599780,2.479,image,ignored,ARCHIVE_RND,8dae295e2cf87019ecef988b9d175c7bef2e9fbf6109969a7139ed5351d63a15,
142,out/tissue_box_front_24_sanitized/verification/tissue_FTR_003_verified.jpg,2588891,2.469,image,ignored,ARCHIVE_RND,df9e517892ba50fe682358268cd886f70bc2988871d710eae5d47dc339a72842,
143,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_FTL_004.jpg,2577480,2.458,image,ignored,ARCHIVE_RND,52c34165b4b8615886a479e0b0b49960315b61a39c4fe737e3255e99aedf9b42,
144,out/tissue_box_init_sanitized/dataset/images/train/tissue_box_bottom.jpg,2576464,2.457,image,ignored,ARCHIVE_RND,bcb381307daf86b27a72cf5604d55f2236ed8519be0c36b3a7cc4c660c5a4254,
145,.venv/Lib/site-packages/av.libs/avformat-60-57a2858188ed261cf3f90db4ed39d223.dll,2529280,2.412,dll,ignored,SAFE_DELETE_CANDIDATE,03b6b5baa9b2bb731eb43aade5af412353ae02db4b2d0f91ec6c9cbf872fe2ca,
146,out/tissue_box_init_sanitized/verification/tissue_box_top_1_verified.jpg,2510831,2.395,image,ignored,ARCHIVE_RND,0da19ce4eb83ffe095349d0b16af0854d0f5f62e6ba4e5ac12e760828d495456,
147,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_F_003.jpg,2509732,2.393,image,ignored,ARCHIVE_RND,fb3c8586cded4db62860c18174ae9f09f77508069a97b96a59e0c6ec06ec1103,
148,out/object_anchor_full99/legacy_regression/pilot/overlays/tissue_FDL_004.jpg,2505803,2.39,image,ignored,ARCHIVE_RND,cfc9e3245485efa106b310b0688490bc70dd9838acf731cb0f8a2c5d407966f7,
149,out/object_anchor_pilot/regression_pilot/overlays/tissue_FDL_004.jpg,2504837,2.389,image,ignored,ARCHIVE_RND,883e672e15d2200f20b5a7cd640c9c3a5fb618b00128e240e3990f1e8e190f63,
150,.venv/Lib/site-packages/pygame/SDL2.dll,2499072,2.383,dll,ignored,SAFE_DELETE_CANDIDATE,520d0459b91efa32fbccf9027a9ca1fc5aae657e679ce8e90f179f9cf5afd279,
151,out/object_anchor_full99/legacy_regression/full99/overlays/tissue_FDL_004.jpg,2493109,2.378,image,ignored,ARCHIVE_RND,156ae712c30f1f5403c73213825f1535bbd3ba45ed591c0475b416e71bd2f9fc,
152,out/object_anchor_full99/legacy_regression/baseline/overlays/tissue_FDL_004.jpg,2492764,2.377,image,ignored,ARCHIVE_RND,9f11ec694543fd3ae10cbced43ed2a581cbe32b339eaca314716c85f52e1767d,
153,out/object_anchor_pilot/regression_baseline/overlays/tissue_FDL_004.jpg,2491270,2.376,image,ignored,ARCHIVE_RND,5822368b2d123c856f70ac73c9a5a35c5059a7979bbfb1b07439c32c48123c43,
154,.venv/Lib/site-packages/av.libs/libvpx-1-ac040985ee384c489495567deaa8891e.dll,2486784,2.372,dll,ignored,SAFE_DELETE_CANDIDATE,729dcee715d561c76e98e2f3cafc38cc3a045b5ecbe6f485d2a77a7b9440f11d,
